Target Distance: 100, Step Size: 5
0: (x, y) = (0, 0)
1: (x, y) = (-4.94, -0.793)
2: (x, y) = (-2.62, 3.64)
3: (x, y) = (1.43, 0.698)
4: (x, y) = (4.24, 4.83)
5: (x, y) = (5.01, -0.108)
6: (x, y) = (7.56, 4.19)
7: (x, y) = (10.2, -0.0389)
8: (x, y) = (5.4, -1.35)
9: (x, y) = (4.89, 3.62)
10: (x, y) = (6.97, 8.17)
11: (x, y) = (2.15, 6.86)
12: (x, y) = (-0.364, 2.53)
13: (x, y) = (2.9, 6.32)
14: (x, y) = (-1.77, 4.54)
15: (x, y) = (1.08, 0.435)
16: (x, y) = (-3.91, 0.701)
17: (x, y) = (-1.29, 4.96)
18: (x, y) = (-0.824, -0.0233)
19: (x, y) = (2.64, 3.58)
20: (x, y) = (1.39, 8.42)
21: (x, y) = (-2.52, 11.5)
22: (x, y) = (-6.87, 9.08)
23: (x, y) = (-7.21, 14.1)
24: (x, y) = (-10.6, 10.4)
25: (x, y) = (-9.54, 5.48)
26: (x, y) = (-8.55, 10.4)
27: (x, y) = (-3.78, 11.9)
28: (x, y) = (-0.576, 8.03)
29: (x, y) = (2.16, 12.2)
30: (x, y) = (3.88, 16.9)
31: (x, y) = (8.66, 15.5)
32: (x, y) = (6.79, 20.1)
33: (x, y) = (11.8, 20)
34: (x, y) = (7.11, 18.2)
35: (x, y) = (4.71, 22.6)
36: (x, y) = (0.694, 25.6)
37: (x, y) = (-2.26, 29.6)
38: (x, y) = (-7.26, 29.5)
39: (x, y) = (-7.99, 34.5)
40: (x, y) = (-13, 35.1)
41: (x, y) = (-17.7, 33.7)
42: (x, y) = (-15.7, 29.1)
43: (x, y) = (-15, 24.1)
44: (x, y) = (-16.8, 28.8)
45: (x, y) = (-13.5, 25)
46: (x, y) = (-18.3, 23.6)
47: (x, y) = (-23.3, 23.4)
48: (x, y) = (-18.4, 24.2)
49: (x, y) = (-21.5, 20.3)
50: (x, y) = (-22, 25.3)
51: (x, y) = (-18, 28.4)
52: (x, y) = (-13.1, 29.5)
53: (x, y) = (-17.9, 27.9)
54: (x, y) = (-12.9, 27.7)
55: (x, y) = (-16.4, 31.3)
56: (x, y) = (-18.8, 35.7)
57: (x, y) = (-14.5, 33.1)
58: (x, y) = (-9.74, 34.6)
59: (x, y) = (-11.7, 30)
60: (x, y) = (-8.54, 26.2)
61: (x, y) = (-5.11, 22.6)
62: (x, y) = (-7.84, 26.8)
63: (x, y) = (-4.29, 23.2)
64: (x, y) = (-8.8, 21.1)
65: (x, y) = (-10.7, 16.5)
66: (x, y) = (-6.5, 13.8)
67: (x, y) = (-10.6, 10.9)
68: (x, y) = (-5.74, 12.1)
69: (x, y) = (-10.7, 12.3)
70: (x, y) = (-7.31, 8.66)
71: (x, y) = (-4.28, 12.6)
72: (x, y) = (-6.71, 8.27)
73: (x, y) = (-11.6, 9.1)
74: (x, y) = (-7.25, 6.73)
75: (x, y) = (-9.25, 2.14)
76: (x, y) = (-11.9, 6.4)
77: (x, y) = (-10.4, 1.63)
78: (x, y) = (-8.57, 6.3)
79: (x, y) = (-3.58, 6.08)
80: (x, y) = (-7.62, 3.14)
81: (x, y) = (-7.38, 8.13)
82: (x, y) = (-5.79, 3.39)
83: (x, y) = (-9.09, -0.366)
84: (x, y) = (-7.8, -5.2)
85: (x, y) = (-3.02, -6.64)
86: (x, y) = (-1.64, -11.4)
87: (x, y) = (3.34, -11.8)
88: (x, y) = (-1.65, -11.8)
89: (x, y) = (-6.57, -10.8)
90: (x, y) = (-8.93, -15.2)
91: (x, y) = (-4.3, -13.3)
92: (x, y) = (-9.3, -13.3)
93: (x, y) = (-12.4, -17.2)
94: (x, y) = (-10.8, -22)
95: (x, y) = (-12.4, -26.7)
96: (x, y) = (-14.8, -22.3)
97: (x, y) = (-18.1, -26.1)
98: (x, y) = (-15.4, -21.9)
99: (x, y) = (-12.6, -17.7)
100: (x, y) = (-10.1, -22.1)
101: (x, y) = (-5.19, -21.1)
102: (x, y) = (-0.195, -21)
103: (x, y) = (1.14, -16.1)
104: (x, y) = (4.54, -12.5)
105: (x, y) = (3.42, -17.4)
106: (x, y) = (5.42, -21.9)
107: (x, y) = (7.74, -17.5)
108: (x, y) = (10.9, -13.6)
109: (x, y) = (12.3, -18.4)
110: (x, y) = (17.2, -17.5)
111: (x, y) = (16.9, -22.5)
112: (x, y) = (16.6, -27.5)
113: (x, y) = (11.8, -26.2)
114: (x, y) = (15.2, -29.9)
115: (x, y) = (15.6, -24.9)
